IAO:0000219	# denotes
IAO:0000104	# plan specification
IAO:0000101	# image
IAO:0000109	# measurement datum
IAO:0000027	# data item
IAO:0000032	# scalar measurement datum
IAO:0000414 	# mass measurement datum 
IAO:0000408	# length measurement datum 
IAO:0000416 	# time measurement datum 
IAO:0000009	# datum label
IAO:0000003	# measurement unit label
IAO:0000007	# action specification
IAO:0000005	# objective specification
IAO:0000308	# figure
IAO:0000309	# diagram
IAO:0000038	# graph
IAO:0000179	# histogram
IAO:0000033	# directive information entity
IAO:0000027	# data item
IAO:0000109	# measurement data item
IAO:0000030	# information content entity
IAO:0000414	# mass measurement datum
IAO:0000136	# is about [a property]
IAO:0020000 	# identifier
IAO:0000646 	# postal code
IAO:0020016 	# given name
IAO:0020017 	# family name
IAO:0000578 	# centrally registered identifier
IAO:0000577 	# centrally registered identifier symbol
IAO:0000579 	# centrally registered identifier registry
IAO:0020020	# code set
IAO:0000028	# symbol
IAO:0000221 	# is quality measurement of
IAO:0000417 	# is quality measured as
IAO:0000039 	# has measurement unit label
BFO:0000001	# entity
BFO:0000002	# continuant
BFO:0000003	# occurrent
BFO:0000004	# independent continuant
BFO:0000015	# process
BFO:0000017	# realizable entity
BFO:0000020	# specifically dependent continuant
BFO:0000031	# generically dependent continuant
BFO:0000040	# material entity
BFO:0000141	# immaterial entity
BFO:0000019	# quality
PATO:0001241	# physical object quality

